,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
46,-122.68,34.04,32.0,1749.0,295.0,74.0,1667.0,5.0457,450000.0,<1H OCEAN
47,-121.28,33.87,15.0,2074.0,228.0,800.0,359.0,3.7092,238000.0,<1H OCEAN
48,-118.45,32.91,35.0,6301.0,390.0,887.0,195.0,3.375,286800.0,<1H OCEAN
49,-121.45,37.92,36.0,8733.0,333.0,775.0,154.0,5.7281,210400.0,<1H OCEAN
50,-116.97,33.9,18.0,499.0,1165.0,828.0,179.0,5.0,133000.0,<1H OCEAN
51,-121.95,35.39,24.0,8046.0,623.0,1697.0,78.0,3.75,197600.0,<1H OCEAN
52,-118.24,40.66,19.0,906.0,1001.0,1042.0,386.0,4.375,46700.0,<1H OCEAN
53,-120.66,33.75,16.0,1868.0,480.0,1599.0,528.0,3.1563,300300.0,<1H OCEAN
54,-117.24,33.62,16.0,10098.0,420.0,1990.0,351.0,5.8243,292000.0,<1H OCEAN
55,-117.8,36.77,35.0,2532.0,549.0,1642.0,200.0,2.6429,200000.0,<1H OCEAN
56,-119.69,33.99,14.0,2609.0,412.0,2230.0,272.0,1.9562,277700.0,<1H OCEAN
57,-118.28,32.78,6.0,711.0,231.0,1434.0,692.0,3.9646,155200.0,<1H OCEAN
58,-118.36,38.0,33.0,1573.0,820.0,1660.0,410.0,1.0714,75000.0,<1H OCEAN
59,-118.34,34.12,52.0,1003.0,169.0,491.0,438.0,3.6451,500001.0,<1H OCEAN
60,-117.9,38.58,28.0,2219.0,477.0,886.0,726.0,2.3111,185400.0,<1H OCEAN
61,-121.75,36.34,31.0,2546.0,610.0,1419.0,422.0,2.0,241300.0,<1H OCEAN
62,-121.98,37.47,16.0,2956.0,285.0,130.0,441.0,2.5719,145200.0,<1H OCEAN
63,-121.31,37.35,37.0,3774.0,276.0,182.0,515.0,2.1542,267300.0,<1H OCEAN
64,-118.93,34.04,29.0,980.0,599.0,615.0,526.0,8.2405,171100.0,<1H OCEAN
65,-117.91,34.18,31.0,1431.0,356.0,1120.0,512.0,2.5938,187500.0,<1H OCEAN
66,-118.32,33.96,32.0,1710.0,419.0,1509.0,259.0,1.7798,345700.0,<1H OCEAN
67,-122.27,40.2,16.0,3149.0,73.0,835.0,426.0,6.3721,124300.0,<1H OCEAN
68,-118.75,37.73,22.0,1408.0,461.0,973.0,1855.0,5.4324,240000.0,<1H OCEAN
69,-121.99,34.1,35.0,1552.0,713.0,749.0,69.0,2.2284,215200.0,<1H OCEAN
70,-122.45,37.43,33.0,2433.0,235.0,1338.0,324.0,3.7321,190700.0,<1H OCEAN
71,-120.85,33.83,43.0,3487.0,535.0,271.0,89.0,6.2154,118800.0,<1H OCEAN
72,-117.87,32.77,15.0,1096.0,703.0,370.0,1238.0,3.6563,144100.0,<1H OCEAN
73,-118.3,37.47,43.0,3996.0,500.0,1564.0,289.0,5.2811,225800.0,<1H OCEAN
74,-118.25,37.86,27.0,2681.0,570.0,1659.0,293.0,1.4514,99100.0,<1H OCEAN
75,-124.3,34.04,31.0,2945.0,488.0,2474.0,108.0,2.631,266400.0,<1H OCEAN
76,-121.9,37.9,14.0,4104.0,328.0,1335.0,36.0,2.5703,168800.0,<1H OCEAN
77,-122.23,33.63,3.0,1921.0,190.0,1820.0,95.0,4.0625,101000.0,<1H OCEAN
78,-122.15,34.15,18.0,2786.0,23.0,1378.0,225.0,1.5642,147800.0,<1H OCEAN
79,-122.07,36.86,26.0,1194.0,587.0,1093.0,784.0,2.3787,62800.0,<1H OCEAN
80,-118.45,33.9,16.0,1160.0,324.0,355.0,239.0,4.6587,62100.0,<1H OCEAN
81,-119.74,34.01,27.0,2572.0,233.0,891.0,184.0,2.7644,165000.0,<1H OCEAN
82,-119.01,37.34,33.0,3787.0,938.0,2665.0,634.0,2.1776,113300.0,<1H OCEAN
83,-118.12,37.97,47.0,1568.0,441.0,809.0,143.0,2.7734,443600.0,<1H OCEAN
84,-119.01,37.71,44.0,386.0,565.0,2341.0,31.0,4.5878,163600.0,<1H OCEAN
85,-122.1,37.82,22.0,1798.0,728.0,1221.0,460.0,4.7437,443000.0,<1H OCEAN
86,-119.8,32.79,23.0,2943.0,257.0,1496.0,337.0,3.1446,375000.0,<1H OCEAN
87,-122.5,34.12,15.0,3085.0,291.0,2221.0,590.0,2.2375,232500.0,<1H OCEAN
88,-118.13,37.36,39.0,1468.0,712.0,588.0,776.0,6.019,140400.0,<1H OCEAN
89,-120.11,33.91,30.0,849.0,328.0,1239.0,794.0,4.8686,199000.0,INLAND
90,-122.46,40.82,28.0,862.0,401.0,849.0,545.0,2.7167,290000.0,INLAND
91,-121.13,33.97,28.0,4460.0,199.0,2135.0,174.0,2.5488,71000.0,INLAND
92,-122.03,33.92,21.0,1982.0,1019.0,480.0,660.0,2.2241,197500.0,INLAND
93,-121.37,34.17,35.0,1254.0,664.0,1066.0,291.0,3.766,86400.0,INLAND
94,-117.13,36.65,27.0,3823.0,432.0,672.0,416.0,2.8125,500001.0,INLAND
95,-117.96,38.03,28.0,6663.0,624.0,1465.0,317.0,7.866,474100.0,INLAND
96,-119.02,34.15,28.0,1443.0,345.0,886.0,239.0,2.8971,91300.0,INLAND
97,-118.68,32.75,31.0,3430.0,824.0,1408.0,308.0,4.0985,200200.0,INLAND
98,-118.25,34.06,26.0,1135.0,729.0,1247.0,250.0,3.25,155300.0,INLAND
99,-121.85,34.1,52.0,4026.0,481.0,851.0,2359.0,3.1053,194200.0,INLAND
100,-121.48,36.37,35.0,1803.0,450.0,844.0,555.0,6.0531,207000.0,INLAND
101,-121.97,33.19,16.0,735.0,680.0,1932.0,485.0,3.8958,200000.0,INLAND
102,-117.25,36.33,11.0,136.0,361.0,917.0,333.0,4.75,166700.0,INLAND
103,-121.51,33.94,42.0,1486.0,378.0,1318.0,333.0,2.8643,169200.0,INLAND
104,-120.45,41.12,13.0,1292.0,353.0,2796.0,454.0,2.6827,142100.0,INLAND
105,-118.35,33.81,36.0,1748.0,239.0,803.0,77.0,1.1157,70000.0,INLAND
106,-122.0,38.03,44.0,6538.0,185.0,1417.0,472.0,4.023,453800.0,INLAND
107,-117.69,32.73,35.0,2568.0,967.0,801.0,580.0,4.6324,88400.0,INLAND
108,-117.9,33.75,16.0,1562.0,1144.0,872.0,104.0,3.1375,342700.0,INLAND
109,-117.7,37.28,31.0,4477.0,290.0,6163.0,1280.0,1.324,178700.0,INLAND
110,-117.91,33.82,18.0,932.0,355.0,1922.0,120.0,1.3221,494000.0,INLAND
111,-121.79,36.85,13.0,1793.0,221.0,966.0,215.0,10.5045,259400.0,INLAND
112,-118.08,38.07,35.0,1191.0,379.0,720.0,743.0,3.2125,261900.0,INLAND
113,-117.99,37.77,23.0,2341.0,1282.0,1162.0,209.0,1.875,60000.0,INLAND
114,-118.66,33.89,24.0,3994.0,950.0,2860.0,739.0,3.3281,73500.0,INLAND
115,-118.46,33.87,43.0,1291.0,238.0,1515.0,388.0,2.369,219400.0,INLAND
116,-118.74,34.25,32.0,1429.0,1527.0,832.0,292.0,3.2625,500001.0,INLAND
117,-121.53,37.33,33.0,1105.0,2226.0,1078.0,291.0,4.9318,302200.0,INLAND
118,-118.55,36.1,26.0,3326.0,235.0,912.0,106.0,3.9934,130600.0,INLAND
119,-118.3,38.33,16.0,3756.0,289.0,930.0,206.0,3.7404,448300.0,INLAND
120,-118.39,41.06,36.0,4519.0,428.0,2764.0,623.0,4.6133,147500.0,INLAND
121,-122.03,32.78,7.0,4524.0,769.0,2563.0,679.0,3.1505,137500.0,INLAND
122,-117.29,34.22,27.0,1901.0,422.0,1157.0,638.0,2.25,210400.0,INLAND
123,-118.54,37.98,36.0,2179.0,361.0,1238.0,581.0,1.4615,198200.0,INLAND
124,-121.35,38.41,46.0,3915.0,478.0,4094.0,381.0,2.6071,117000.0,INLAND
125,-119.83,34.04,14.0,2254.0,290.0,826.0,244.0,3.6991,142900.0,INLAND
126,-118.01,37.63,47.0,3078.0,385.0,753.0,427.0,3.7973,227000.0,INLAND
127,-115.37,34.25,25.0,896.0,359.0,658.0,481.0,6.8492,268900.0,INLAND
128,-117.63,33.99,34.0,5138.0,286.0,2717.0,767.0,5.0796,344100.0,INLAND
129,-118.32,38.47,49.0,2513.0,1526.0,1742.0,693.0,8.176,128000.0,INLAND
130,-118.34,38.03,26.0,3263.0,335.0,3367.0,684.0,6.0374,232700.0,INLAND
131,-121.49,37.99,45.0,859.0,586.0,2794.0,1055.0,2.0329,75000.0,INLAND
132,-118.05,34.01,24.0,4164.0,613.0,1213.0,330.0,4.7193,200000.0,INLAND
133,-121.47,37.8,28.0,15309.0,97.0,781.0,707.0,2.9464,162500.0,INLAND
134,-115.94,33.89,37.0,3117.0,155.0,5534.0,227.0,2.4932,138700.0,INLAND
135,-118.07,33.92,13.0,921.0,1085.0,1061.0,267.0,1.7788,90400.0,INLAND
136,-116.4,34.02,26.0,1671.0,100.0,554.0,410.0,2.7348,188800.0,INLAND
137,-119.61,33.54,41.0,1894.0,345.0,1449.0,438.0,4.1635,112500.0,INLAND
138,-122.09,33.72,15.0,5667.0,151.0,821.0,245.0,3.0944,100600.0,INLAND
139,-117.08,33.76,13.0,4423.0,586.0,1167.0,633.0,2.3851,180400.0,INLAND
140,-120.49,33.68,16.0,1386.0,270.0,1266.0,92.0,6.541,179800.0,INLAND
141,-121.45,32.81,29.0,1039.0,435.0,1122.0,216.0,6.827,146100.0,INLAND
142,-117.25,39.02,47.0,4879.0,277.0,1588.0,228.0,1.4856,51300.0,INLAND
143,-122.34,33.73,15.0,4676.0,598.0,872.0,384.0,4.6447,283300.0,INLAND
144,-117.42,33.97,52.0,4874.0,670.0,2688.0,629.0,1.0612,112500.0,INLAND
145,-115.8,38.61,17.0,2362.0,500.0,2020.0,602.0,3.7147,500001.0,INLAND
146,-118.05,38.64,17.0,2677.0,664.0,6931.0,60.0,2.8194,59200.0,INLAND
147,-117.11,33.96,31.0,2781.0,332.0,2401.0,1191.0,2.9844,162500.0,INLAND
148,-118.15,33.89,52.0,2090.0,523.0,1539.0,384.0,4.6518,114300.0,INLAND
149,-122.23,38.11,30.0,1243.0,667.0,3870.0,815.0,4.5221,204200.0,INLAND
150,-122.11,32.78,19.0,3269.0,1044.0,1128.0,226.0,4.7143,279300.0,INLAND
151,-118.61,34.16,19.0,1245.0,426.0,2818.0,495.0,5.979,78900.0,INLAND
152,-119.38,34.27,21.0,1784.0,1374.0,1976.0,255.0,4.1302,139500.0,NEAR OCEAN
153,-119.9,32.78,51.0,1205.0,681.0,492.0,513.0,5.6629,225000.0,NEAR OCEAN
154,-118.14,37.13,26.0,3797.0,534.0,406.0,562.0,5.4618,96900.0,NEAR OCEAN
155,-117.42,33.94,52.0,1735.0,565.0,841.0,242.0,1.8696,252100.0,NEAR OCEAN
156,-122.24,37.53,33.0,1382.0,276.0,677.0,728.0,7.9606,52500.0,NEAR OCEAN
157,-118.16,37.29,4.0,1459.0,617.0,2630.0,915.0,3.825,122400.0,NEAR OCEAN
158,-118.75,34.09,18.0,1156.0,622.0,1780.0,183.0,5.6779,271400.0,NEAR OCEAN
159,-118.41,34.02,3.0,2897.0,386.0,693.0,482.0,3.0,84200.0,NEAR OCEAN
160,-118.51,34.08,17.0,1766.0,203.0,1116.0,510.0,4.0385,160900.0,NEAR OCEAN
161,-118.01,37.42,42.0,2562.0,424.0,1183.0,362.0,4.8286,255500.0,NEAR OCEAN
162,-118.32,34.28,16.0,1065.0,398.0,628.0,632.0,10.9704,395300.0,NEAR OCEAN
163,-121.78,35.13,17.0,2407.0,506.0,1305.0,1105.0,12.9758,71500.0,NEAR OCEAN
164,-117.89,38.62,33.0,1470.0,246.0,1408.0,1397.0,4.3214,229200.0,NEAR OCEAN
165,-118.94,37.57,34.0,2384.0,160.0,384.0,298.0,2.0184,228000.0,NEAR OCEAN
166,-120.93,34.25,33.0,1467.0,406.0,803.0,139.0,2.6734,96800.0,NEAR OCEAN
167,-122.68,37.32,14.0,2655.0,413.0,2932.0,475.0,3.7328,500001.0,NEAR OCEAN
168,-121.87,38.25,35.0,2632.0,167.0,4930.0,298.0,8.5425,485400.0,NEAR OCEAN
169,-118.2,34.07,22.0,2434.0,200.0,817.0,303.0,4.0505,329800.0,NEAR OCEAN
170,-118.46,37.66,11.0,2952.0,508.0,997.0,582.0,3.9632,179200.0,NEAR OCEAN
171,-118.35,33.9,10.0,10687.0,1025.0,2292.0,487.0,3.3036,223800.0,NEAR OCEAN
172,-117.3,38.44,29.0,3530.0,396.0,1518.0,474.0,2.85,132600.0,NEAR OCEAN
173,-121.8,37.83,17.0,2018.0,687.0,1739.0,766.0,2.9714,211700.0,NEAR OCEAN
174,-123.12,38.1,52.0,4177.0,711.0,1183.0,943.0,4.6635,380000.0,NEAR OCEAN
175,-118.09,34.09,38.0,3027.0,410.0,984.0,276.0,4.125,175000.0,NEAR OCEAN
176,-118.12,33.99,33.0,4999.0,332.0,302.0,788.0,0.7473,149800.0,NEAR OCEAN
177,-119.28,38.51,28.0,1779.0,212.0,3062.0,731.0,1.2206,253400.0,NEAR BAY
178,-122.38,38.36,52.0,2053.0,720.0,2048.0,1449.0,1.975,50400.0,NEAR BAY
179,-117.64,37.47,46.0,3499.0,267.0,1223.0,341.0,2.3464,186700.0,NEAR BAY
180,-122.07,33.84,35.0,196.0,827.0,1492.0,595.0,1.4103,87100.0,NEAR BAY
181,-118.21,34.87,17.0,2460.0,161.0,2966.0,318.0,4.6087,159400.0,NEAR BAY
182,-117.91,37.3,16.0,4949.0,411.0,1454.0,159.0,3.4375,162500.0,NEAR BAY
183,-119.62,32.76,23.0,2436.0,471.0,1232.0,468.0,5.0162,223000.0,NEAR BAY
184,-118.95,37.6,18.0,2483.0,166.0,850.0,771.0,6.1814,350000.0,NEAR BAY
185,-118.93,34.0,42.0,2131.0,152.0,1202.0,366.0,5.3989,67000.0,NEAR BAY
186,-122.27,33.71,31.0,1927.0,371.0,1687.0,200.0,3.1441,67500.0,NEAR BAY
187,-122.28,34.07,16.0,2704.0,993.0,2713.0,1124.0,5.0389,273100.0,NEAR BAY
188,-121.6,38.69,15.0,1202.0,450.0,6664.0,614.0,4.15,285200.0,NEAR BAY
189,-121.51,38.48,37.0,3269.0,708.0,956.0,1187.0,3.1205,271200.0,NEAR BAY
190,-118.17,32.75,48.0,1217.0,360.0,729.0,535.0,7.2137,94300.0,NEAR BAY
191,-119.05,34.01,12.0,901.0,532.0,954.0,642.0,4.875,140100.0,NEAR BAY
192,-118.06,37.35,29.0,1162.0,563.0,576.0,234.0,3.475,138300.0,NEAR BAY
193,-119.81,33.84,36.0,3455.0,481.0,1431.0,309.0,5.0497,477800.0,NEAR BAY
194,-118.37,32.69,12.0,2969.0,515.0,421.0,410.0,4.3468,173500.0,NEAR BAY
195,-117.24,34.17,36.0,1872.0,632.0,3033.0,743.0,1.7548,138200.0,NEAR BAY
196,-124.09,33.44,47.0,2079.0,501.0,1099.0,458.0,2.3267,268000.0,NEAR BAY
197,-118.17,37.95,31.0,3586.0,330.0,856.0,504.0,1.2618,206300.0,NEAR BAY
198,-117.76,33.89,29.0,204.0,825.0,1029.0,147.0,2.0809,259400.0,NEAR BAY
199,-117.71,38.74,29.0,941.0,899.0,711.0,339.0,1.9191,186700.0,INLAND
200,-122.31,33.0,18.0,1476.0,410.0,3295.0,356.0,2.25,104500.0,NEAR BAY
201,-118.37,33.34,26.0,2226.0,1978.0,1446.0,663.0,6.0878,80000.0,INLAND
202,-122.39,37.16,26.0,2243.0,605.0,2515.0,417.0,2.3182,187500.0,INLAND
203,-119.92,32.69,28.0,1147.0,1461.0,395.0,568.0,3.2112,55000.0,NEAR OCEAN
204,-123.98,37.5,48.0,5869.0,585.0,1407.0,228.0,4.5057,421000.0,<1H OCEAN
205,-118.5,34.02,33.0,2846.0,3032.0,1418.0,501.0,4.221,433000.0,<1H OCEAN
206,-117.76,32.76,31.0,1016.0,444.0,2074.0,734.0,4.2218,55300.0,INLAND
207,-117.93,34.19,29.0,964.0,338.0,972.0,795.0,1.7391,61800.0,<1H OCEAN
208,-122.17,34.02,36.0,3701.0,26.0,1380.0,285.0,2.8839,225000.0,<1H OCEAN
209,-122.21,36.35,17.0,2157.0,383.0,508.0,140.0,3.0417,83300.0,<1H OCEAN
210,-120.99,40.77,25.0,1337.0,2158.0,1948.0,139.0,3.7147,273600.0,INLAND
211,-122.87,37.34,9.0,269.0,392.0,75.0,484.0,4.6111,195900.0,INLAND
212,-118.01,37.52,37.0,1821.0,931.0,1437.0,311.0,4.0603,204200.0,INLAND
213,-121.98,33.82,32.0,5827.0,230.0,1993.0,300.0,4.1339,121200.0,<1H OCEAN
214,-120.04,34.07,22.0,5159.0,108.0,1540.0,287.0,4.5568,127500.0,<1H OCEAN
215,-117.37,34.65,40.0,2864.0,409.0,608.0,255.0,3.4074,271800.0,<1H OCEAN
216,-117.89,37.74,38.0,3583.0,760.0,265.0,390.0,1.75,73500.0,<1H OCEAN
217,-121.42,34.07,27.0,1158.0,379.0,793.0,359.0,6.3373,231800.0,NEAR BAY
218,-120.93,35.34,28.0,14034.0,404.0,313.0,431.0,4.7283,198100.0,<1H OCEAN
219,-118.05,34.11,18.0,703.0,492.0,838.0,481.0,1.9848,113500.0,INLAND
220,-122.19,37.64,25.0,7518.0,518.0,520.0,38.0,4.1164,247100.0,<1H OCEAN
221,-117.24,34.04,52.0,6303.0,228.0,1322.0,160.0,3.5288,179500.0,INLAND
222,-120.06,37.47,37.0,2775.0,295.0,691.0,869.0,1.425,433800.0,INLAND
223,-118.25,37.7,22.0,1505.0,6445.0,2103.0,315.0,3.5404,141000.0,<1H OCEAN
224,-121.26,33.92,8.0,9302.0,731.0,821.0,307.0,0.4999,121500.0,INLAND
225,-118.04,34.12,42.0,1661.0,4798.0,1441.0,252.0,3.1406,115100.0,<1H OCEAN
226,-122.06,34.09,48.0,1142.0,141.0,74.0,250.0,2.2188,500001.0,INLAND
227,-121.06,37.0,25.0,2210.0,551.0,2024.0,198.0,5.0747,279800.0,NEAR OCEAN
228,-118.09,37.76,21.0,1432.0,477.0,315.0,1911.0,1.4036,250000.0,NEAR BAY
229,-122.64,38.9,32.0,5661.0,772.0,631.0,342.0,2.1888,112500.0,NEAR OCEAN
230,-118.14,33.8,30.0,2037.0,1082.0,2114.0,559.0,6.1064,207600.0,NEAR BAY
231,-119.7,37.82,26.0,544.0,2007.0,719.0,450.0,4.5644,383200.0,INLAND
232,-122.31,38.57,36.0,1417.0,242.0,1649.0,809.0,6.2028,101500.0,INLAND
233,-117.88,36.28,17.0,895.0,447.0,1833.0,441.0,5.6454,311500.0,INLAND
234,-116.99,34.25,15.0,2130.0,1158.0,4533.0,329.0,4.0526,123800.0,NEAR OCEAN
235,-118.27,37.48,32.0,937.0,270.0,2460.0,461.0,3.9643,210300.0,<1H OCEAN
236,-118.61,34.09,22.0,2199.0,284.0,1164.0,823.0,5.0371,283300.0,INLAND
237,-118.28,39.75,28.0,3279.0,388.0,3295.0,706.0,6.9322,175000.0,INLAND
238,-117.02,37.96,17.0,3010.0,511.0,1161.0,205.0,8.8793,212100.0,<1H OCEAN
239,-121.82,33.93,38.0,4536.0,114.0,700.0,343.0,6.1726,162500.0,NEAR OCEAN
240,-118.13,38.5,36.0,7297.0,1231.0,1145.0,443.0,2.1908,313400.0,NEAR BAY
241,-118.0,33.98,19.0,1417.0,490.0,1613.0,374.0,0.4999,216800.0,NEAR OCEAN
242,-121.03,33.71,34.0,1333.0,1062.0,989.0,426.0,3.1635,258200.0,INLAND
243,-117.41,35.31,52.0,1273.0,531.0,1195.0,519.0,6.7978,411300.0,INLAND
244,-117.91,34.15,5.0,9975.0,739.0,1011.0,592.0,4.1635,192900.0,<1H OCEAN
245,-122.35,37.48,17.0,985.0,691.0,1092.0,423.0,5.777,108900.0,INLAND
246,-121.98,32.78,22.0,702.0,389.0,2855.0,23.0,4.2788,394400.0,<1H OCEAN
247,-118.38,40.67,20.0,1146.0,552.0,933.0,262.0,3.25,133100.0,INLAND
248,-117.99,37.54,15.0,3882.0,340.0,900.0,164.0,7.3644,166800.0,<1H OCEAN
249,-122.71,37.67,42.0,5003.0,528.0,1815.0,332.0,5.8325,166000.0,<1H OCEAN
250,-117.23,32.93,36.0,2614.0,658.0,1171.0,615.0,2.1743,132700.0,INLAND
251,-118.08,34.15,52.0,5556.0,285.0,2428.0,249.0,4.1917,269800.0,<1H OCEAN
252,-117.93,33.97,52.0,2112.0,209.0,608.0,481.0,7.0879,197400.0,<1H OCEAN
253,-117.97,33.49,23.0,2201.0,338.0,2038.0,462.0,3.7188,179700.0,<1H OCEAN
254,-120.65,39.76,24.0,682.0,177.0,1987.0,351.0,2.8558,191100.0,<1H OCEAN
255,-122.47,40.06,22.0,2263.0,385.0,533.0,782.0,0.8252,111600.0,<1H OCEAN
256,-122.61,33.98,20.0,1847.0,322.0,2764.0,2612.0,5.2124,286600.0,<1H OCEAN
257,-117.3,37.79,26.0,8576.0,107.0,2269.0,498.0,4.3864,147800.0,NEAR OCEAN
258,-118.29,33.84,20.0,6960.0,623.0,758.0,743.0,2.9875,235300.0,NEAR BAY
259,-117.75,37.36,11.0,1570.0,468.0,1558.0,121.0,3.7321,145600.0,NEAR OCEAN
260,-116.77,34.28,3.0,589.0,380.0,1006.0,516.0,5.1524,68500.0,<1H OCEAN
261,-119.98,33.88,35.0,826.0,436.0,3018.0,245.0,2.2765,206100.0,<1H OCEAN
262,-121.09,36.84,15.0,2985.0,828.0,1454.0,394.0,1.9562,212500.0,<1H OCEAN
263,-121.37,37.26,33.0,4750.0,267.0,1498.0,455.0,3.5893,136100.0,<1H OCEAN
264,-122.2,37.65,52.0,957.0,857.0,1713.0,381.0,4.0156,72500.0,INLAND
265,-118.25,34.06,36.0,2517.0,264.0,769.0,1235.0,2.0673,162500.0,<1H OCEAN
266,-117.92,34.7,3.0,1239.0,556.0,861.0,345.0,3.6442,195700.0,INLAND
267,-118.17,34.0,41.0,2014.0,417.0,2559.0,209.0,1.808,103300.0,<1H OCEAN
268,-117.91,34.16,5.0,270.0,508.0,2792.0,410.0,2.6012,461500.0,INLAND
269,-117.06,37.96,19.0,3084.0,370.0,3982.0,561.0,1.8818,343600.0,<1H OCEAN
270,-121.88,33.89,18.0,3149.0,315.0,1317.0,520.0,1.3,118100.0,NEAR BAY
271,-118.05,34.22,40.0,1431.0,640.0,1076.0,321.0,3.3616,225000.0,NEAR OCEAN
272,-117.92,37.63,44.0,2079.0,550.0,1658.0,463.0,0.813,387100.0,INLAND
273,-117.67,34.03,26.0,507.0,1282.0,856.0,211.0,2.5033,100000.0,NEAR OCEAN
274,-121.08,38.01,17.0,2221.0,759.0,1807.0,253.0,2.0417,243800.0,INLAND
275,-122.52,33.86,5.0,3797.0,456.0,767.0,258.0,3.2333,174200.0,<1H OCEAN
