,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
42,4.875,27.0,4.25,0.959375,615.0,3.75,38.0,-121.39,1.125
43,2.9643,48.0,3.7173732717371286,1.007042253521126,2136.0,3.058906077669935,33.91,-118.44,2.528
44,2.2875,13.0,4.965882352941176,1.033807825129226,1048.0,4.1602127659575,33.19,-116.96,0.699
45,3.0,32.0,4.05455937983087,1.1320754716981132,764.0,1.72212707649916,37.83,-122.44,5.00001
46,1.9432,36.0,4.095607235278058,0.994927573990415,754.0,2.7596235849640176,36.32,-119.08,0.803
47,10.1778,22.0,7.07894736842105,1.0489473684210526,774.0,2.54320987654321,33.81,-117.83,5.00001
48,4.2404,36.0,6.86725663716811,1.099356725663717,1032.0,2.685747894736842,33.89,-117.35,1.414
49,5.2396,35.0,4.835294117647059,1.0588235294117647,691.0,2.764705882352941,37.66,-122.03,3.113
50,3.9792,32.0,5.114615384615385,1.0,1277.0,2.808988764044944,33.77,-117.07,1.767
51,3.1366,17.0,4.99056603724785,1.098279569892473,2660.0,2.2874251238806633,33.71,-117.07,2.152
52,3.1042,36.0,5.857142857142857,1.071428571428572,1512.0,4.272857142857143,33.63,-118.0,0.765
53,2.4548,43.0,3.660736196319014,1.0876942355889727,872.0,3.483966019607361,33.91,-118.32,1.386
54,2.1864,23.0,5.846153846153847,1.0997612280701754,671.0,2.826356570605276,38.0,-121.35,0.55
55,4.1471,18.0,5.24137931034483,1.033112582786567,594.0,4.342708333333333,32.79,-117.93,1.607
56,1.8795,16.0,5.91814342477876,1.03710776892453,1541.0,2.394088669950728,36.93,-119.81,0.871
57,1.7813,44.0,4.576923076923077,1.0689655172413792,1719.0,2.769230769230769,36.53,-119.03,0.962
58,3.1536,16.0,5.4265,1.042857142857143,2042.0,3.392857142857143,33.69,-117.87,1.224
59,4.0417,27.0,4.649909504422655,1.0943704782608694,2486.0,2.3865342080924843,37.25,-122.04,2.618
60,1.7368,42.0,4.251599696023394,1.039473684210527,894.0,3.0,37.75,-122.16,0.71
61,3.9405,45.0,4.77005345770053,1.0976470588235294,1491.0,3.2217081827411342,33.89,-117.88,1.354
62,1.6875,45.0,3.811594202898551,0.952830188679245,621.0,4.0188679245283,34.11,-118.37,2.128
63,2.5179,44.0,2.8696699669966996,1.0613992366053124,1135.0,2.9722222222222223,37.72,-122.46,2.314
64,2.6042,37.0,5.44281528668023,1.00763358778625,1345.0,3.344827586206897,34.1,-117.15,0.821
65,4.0938,17.0,5.5,1.0,30.0,3.0,33.61,-117.98,1.766
66,2.0932,19.0,4.85185185185185,0.8277777777777778,1492.0,2.6,33.92,-116.95,0.75
67,8.2026,43.0,8.085523696682458,1.0989880291970808,1612.0,2.924581005580169,34.05,-118.33,3.722
68,3.2083,34.0,5.959136690647482,1.038860103626937,1361.0,2.5905396725151,38.04,-121.34,1.849
69,2.7875,44.0,3.75,1.0,1284.0,3.636363636363636,34.02,-118.17,2.147
70,4.1437,44.0,5.078278006997706,1.058278006997707,1603.0,2.8600763386007633,34.03,-122.44,2.5
71,4.6708,52.0,5.139327160493877,1.0329240837696114,1366.0,2.470198675496645,37.34,-122.08,3.36
72,2.8846,16.0,3.6858007092191705,1.013825604915252,1139.0,3.107509887005199,34.02,-117.32,2.226
73,4.0581,13.0,5.285714285714285,1.0489529411764706,2071.0,3.192857142857143,34.18,-117.9,1.25
74,4.9292,30.0,4.656060606060606,0.9074074074074074,1426.0,3.146767676767677,37.73,-121.8,1.885
75,4.0044,44.0,5.781280663817522,1.072727272727273,1459.0,2.083916083916084,37.75,-122.43,2.885
76,4.5051,37.0,4.478030042993819,1.0566101694915255,805.0,2.143529411764706,33.9,-118.37,3.094
77,2.7708,42.0,4.937890960697302,1.113924020632939,503.0,2.5697301587301586,33.97,-118.02,1.625
78,2.5208,15.0,5.54320987654321,1.0,867.0,2.75,40.58,-122.0,0.949
79,5.0088,23.0,6.370114942528735,1.0851063829787233,2196.0,2.964303797468372,34.11,-118.59,4.097
80,2.7152,32.0,3.817821782178218,1.0614341463414634,2366.0,2.132075471320756,33.76,-117.94,2.75
81,1.6512,23.0,3.65625,1.02,659.0,2.570025,32.81,-117.22,1.677
82,8.0357,23.0,7.39370078740114,1.039370078740114,2483.0,2.442622950819672,33.95,-118.1,4.841
83,3.076,34.0,4.6,1.0,1622.0,3.4,34.01,-118.12,1.653
84,2.0891,35.0,5.84736842105263,1.1417721518987343,1042.0,2.8177215189873417,36.79,-119.03,0.525
85,2.6438,35.0,4.636363636363637,0.977975069128979,935.0,2.451458278054515,34.2,-119.74,1.596
86,5.5937,23.0,6.22702334331261,1.0127182957338865,1057.0,3.0599480127754966,37.3,-121.93,1.531
87,2.7222,52.0,4.55165064425799,1.0391447207391364,1760.0,2.5764331040228345,37.77,-122.25,2.559
88,4.0,47.0,4.335575221238936,0.97787517572469,1354.0,2.9774915254237286,34.29,-118.51,2.795
89,3.1824,22.0,5.766784386978155,1.0785915492957747,1042.0,3.1117605323128936,34.08,-118.37,1.183
90,3.9559,15.0,5.576432160804039,1.1407829268292682,812.0,2.9264065008926408,37.76,-122.06,2.637
91,3.3984,46.0,4.9393574297102,1.0,671.0,2.9297103448275865,34.05,-118.5,1.971
92,2.5,30.0,3.876190476190476,0.958904109589041,1317.0,3.090909090909091,34.17,-118.29,2.424
93,5.0925,20.0,5.8497855238095235,0.990445822102473,1783.0,3.111478260869565,34.23,-117.99,1.897
94,1.8196,17.0,3.446685082872928,0.959170128112782,1786.0,1.959289617486338,33.77,-118.09,1.286
95,2.5,36.0,5.403821656050903,1.002732240437158,832.0,4.389615389615384,33.7,-117.3,0.75
96,5.0584,52.0,5.0,1.085271317829457,613.0,2.59121495327102,37.47,-122.0,2.131
97,5.2957,43.0,5.86943620178051,1.0689655172413792,1624.0,2.6517241379310343,34.01,-118.13,2.125
98,5.2588,34.0,5.263739936108214,1.0789830508474576,531.0,3.0789830508474574,37.77,-122.43,2.271
99,6.8603,47.0,7.193718791937186,1.0535343534353436,1415.0,2.45454545454546,34.12,-118.1,3.671
100,6.8125,35.0,6.078671328671328,1.0833484276733485,523.0,2.5924095607235493,34.27,-118.23,2.808
101,3.9107,16.0,5.766141732283468,1.0616031603160316,1763.0,3.7644615384615383,34.07,-117.87,1.623
102,4.7167,52.0,4.923354838709677,1.1139240506329116,849.0,2.857894736842105,37.7,-122.47,5.00001
103,4.5527,28.0,5.1875,1.0972222222222223,1412.0,2.821017543859649,38.02,-122.47,1.058
104,6.9643,36.0,8.17163736278625,1.1057754010695187,598.0,2.9885057471264367,33.94,-117.85,4.938
105,6.0908,28.0,6.057845176629605,1.0445161290322629,686.0,3.20662983425414,33.62,-117.65,2.345
106,2.2284,27.0,4.17255918367347,1.032589585819895,1679.0,3.007874015748098,38.61,-121.2,1.744
107,3.4821,27.0,3.5,1.05,1640.0,2.07,34.23,-118.32,2.25
108,5.0787,34.0,5.764342465753424,0.9875342465753424,1235.0,2.965753424657535,33.75,-117.79,2.628
109,5.5238,19.0,5.480147392299176,1.076513402061838,685.0,3.306513402061837,34.22,-118.43,2.68
110,3.8942,13.0,6.088749171401575,1.0976610162666809,631.0,2.7152830188679244,38.15,-121.03,1.036
111,5.0555,41.0,5.715485056179714,0.9904129942180077,1036.0,2.9266853756345896,34.28,-118.3,1.65
112,3.9643,52.0,5.865454545454554,1.0797777777777777,988.0,2.636363636363636,34.08,-117.86,1.663
113,8.3927,52.0,7.0,1.0,1779.0,2.0,33.89,-118.45,5.00001
114,1.4167,5.0,4.569696969696969,1.096354289350188,2542.0,2.816666666666667,37.7,-120.81,1.509
115,6.5208,19.0,5.735421485968337,0.992640899264021,955.0,3.062537313432836,33.89,-117.99,3.422
116,6.1846,34.0,7.337434143772156,1.0626829268292683,521.0,2.446813186813183,37.64,-122.25,3.083
117,6.0833,17.0,6.722222222222222,1.011111111111111,1856.0,3.41111111111111,34.07,-118.17,3.687
118,3.8571,31.0,4.783333333333333,1.0,1660.0,2.733333333333333,37.6,-121.98,2.11
119,5.8571,15.0,4.647058823529412,1.068235294117647,1807.0,2.887730063355481,37.67,-122.01,2.674
120,3.0,12.0,4.7105263157894735,1.0047251336565948,812.0,2.8590526315789475,32.73,-117.03,1.813
121,2.5227,27.0,4.4736825793670985,1.049772039800995,1511.0,3.064376623376623,32.98,-117.16,1.743
122,3.6667,32.0,4.555555555555555,1.0101010101010102,1189.0,3.5765232757652328,37.33,-117.09,1.666
123,6.7562,32.0,8.8794326241182,1.038794326241182,1605.0,2.32012578616352,33.93,-117.88,5.00001
124,2.1404,20.0,4.857142857142857,1.052857142857143,1245.0,3.0714285714285716,36.33,-119.75,0.534
125,3.7286,41.0,5.49262295081967,1.1659072544832623,744.0,2.7161994863387986,37.58,-122.08,2.188
126,4.75,14.0,6.02083333333333,1.0588235294117647,1172.0,3.058823529411765,34.24,-118.18,2.713
127,4.5556,14.0,5.079343065343065,1.0,1851.0,2.7296703296703297,33.76,-117.9,2.535
128,2.2917,42.0,5.457831325301208,1.01149425287356,685.0,2.94252873563218,40.76,-122.41,0.955
129,3.6359,22.0,9.011494252873563,1.0661847507614215,2320.0,3.743283582089552,34.12,-118.54,2.637
130,3.7361,34.0,4.2847761194028475,1.1497002757417352,930.0,3.251497002757417,34.16,-118.43,2.048
131,3.7361,32.0,4.879236686407733,1.0,871.0,2.8562713178294574,36.8,-119.27,1.868
132,3.9292,14.0,4.098591549295775,1.03619379844961,1077.0,2.482412371134053,37.82,-121.93,1.814
133,4.9196,52.0,5.716666666666667,1.0833333333333335,220.0,2.7333333333333334,37.71,-122.41,1.317
134,1.9219,38.0,4.518518518518518,0.972027027027027,1043.0,2.6296296296296,33.77,-118.3,0.713
135,1.39,23.0,4.757904395604395,1.0825862068965517,1613.0,3.1513384615384616,33.92,-117.15,0.643
136,3.5,33.0,4.93722907534887,1.0523622047243206,1132.0,2.13753488372093,33.78,-117.87,1.94
137,2.5,32.0,4.81689037031365,0.9743589743589743,1046.0,2.91935483870968,34.03,-117.23,1.496
138,3.7307,35.0,4.957446808510638,0.9574468085106389,985.0,3.209944751381257,33.92,-118.35,1.81
139,2.2875,35.0,4.29010989402985,1.0289757979182732,1141.0,3.657874015576211,36.61,-119.64,0.906
140,3.9063,32.0,4.988795522388059,1.0417391304347827,1548.0,2.887955223880596,33.69,-117.29,1.78
141,12.5227,8.0,7.97360661837113,1.0253968253968253,2067.0,2.8974358974358,33.6,-117.9,5.00001
142,3.0153,36.0,5.0,1.0,887.0,2.878787878787879,33.94,-118.49,1.435
143,2.5,4.0,5.634146341463415,1.1525641025641027,782.0,2.9676056338028167,38.26,-121.23,0.769
144,2.3125,16.0,23.964285714285715,5.03174603174603,2327.0,2.3534366534366535,33.84,-117.06,1.363
145,2.9063,12.0,5.72289156626506,1.0914478915662607,3555.0,2.604719298245614,38.43,-121.29,0.722
146,3.6458,20.0,5.478927044025677,1.0914285714285714,2114.0,3.044025157232704,33.81,-117.24,1.568
147,4.2813,10.0,5.0,1.091648792899201,647.0,2.9342335164848805,33.99,-117.29,2.268
148,5.3261,28.0,6.368737864077991,1.053639846743295,1278.0,3.1873193908713695,33.88,-117.95,1.79
149,5.0208,42.0,5.6,0.9574468085106383,1360.0,2.483754587403665,33.96,-118.11,2.226
150,5.1318,26.0,5.8,0.95775,1775.0,3.375,33.94,-118.02,1.215
151,3.0086,44.0,5.554545454545454,1.0,675.0,3.0,34.07,-118.34,1.85
152,2.1439,44.0,6.331476146789054,1.0972222222222223,1348.0,2.8922222222222222,33.64,-116.86,1.103
153,15.0001,13.0,7.00557788944728,1.039370177937011,1081.0,2.813382899619776,38.33,-121.7,5.00001
154,5.3047,26.0,5.590719298245614,0.9566577050515462,709.0,2.7914886887659374,37.75,-121.78,3.029
155,3.9821,35.0,5.634146341463414,1.0,1590.0,3.03896103896104,33.79,-118.06,1.712
156,3.8672,21.0,5.082474226804123,1.027777777777777,1828.0,2.81443298969073,33.64,-117.25,1.836
157,3.8125,45.0,4.586516853932584,1.080128205128205,1140.0,2.556410256410256,34.06,-118.42,3.534
158,1.8603,25.0,4.769230769230769,1.090415254237288,1152.0,4.146923076923077,33.98,-118.15,0.948
159,4.1139,26.0,6.21602339170088,1.0638297872340425,1012.0,2.9146690647482014,33.86,-117.91,2.265
160,2.7969,52.0,4.59770114942528,1.0494623655913982,714.0,1.8020231214896956,37.78,-122.41,1.404
161,2.0,18.0,5.878504672897153,1.106598984771719,1333.0,2.586813186813187,37.35,-120.48,0.721
162,3.5461,46.0,5.476923076923077,1.0044642857142858,1269.0,2.539130434782609,37.67,-122.46,3.125
163,3.3536,19.0,4.94736842105263,0.9297925124378112,711.0,2.946236559139785,32.75,-117.04,2.438
164,4.875,30.0,4.7,1.0035211267605626,762.0,1.959582423261644,33.92,-117.97,2.298
165,1.4417,20.0,4.491803278688525,1.064179104477612,611.0,2.588038931292657,38.39,-122.15,0.591
166,2.625,29.0,5.7749059836065575,1.046037735849056,851.0,4.0,34.05,-117.35,0.87
167,2.5833,19.0,5.12,1.066666666666667,1005.0,2.866666666666667,37.93,-122.47,3.425
168,2.5089,26.0,4.69681528662421,1.102830188679245,4983.0,2.641711229946524,33.97,-118.32,3.353
169,3.5,52.0,4.088080808080808,0.9878787878787879,835.0,2.9431818181818183,33.87,-118.21,1.649
170,2.5521,36.0,5.36672514619885,1.0694093922651946,896.0,2.8767251461988503,33.12,-117.29,0.863
171,2.4817,44.0,3.817605664331825,1.2698412698412698,447.0,2.988165664331826,34.03,-118.19,1.875
172,2.5208,37.0,4.071428571428571,1.0991803278688523,1027.0,3.0327868852361,34.05,-118.1,1.169
173,3.6607,41.0,4.777777777777778,1.029090909090909,1627.0,2.942181818181818,37.74,-122.44,1.17
174,4.1875,15.0,6.12,1.0,1304.0,2.64,33.65,-117.92,1.417
175,2.5,27.0,5.74426229508198,1.038247874686983,1060.0,2.653380583080597,37.32,-122.03,1.852
176,6.9227,21.0,6.87422110813008,1.1203007518796992,2037.0,3.1477605633802814,37.78,-122.4,2.5
177,2.9063,28.0,5.0,1.1009259259259259,1334.0,2.977777777777778,33.82,-117.93,1.449
178,5.5234,31.0,5.34893798263964,1.078498581560278,1582.0,3.0496453900496836,37.58,-121.97,2.613
179,3.1062,52.0,4.360124528301887,1.1135679897183097,854.0,2.454839175257879,34.17,-118.33,1.58
180,1.9866,17.0,4.91875,1.0,1538.0,3.72275,34.0,-119.8,1.518
181,2.8125,14.0,5.8,1.03,1292.0,2.4066666666666667,38.46,-121.4,1.705
182,4.5563,39.0,5.4728,1.0536,845.0,2.9875,34.02,-118.11,1.716
183,3.4659,33.0,5.24166666666667,1.0105882352941176,1478.0,2.95733333333333,34.08,-118.38,3.02
184,4.8298,21.0,4.75456827554399,1.0264900282738847,1473.0,2.788142560690165,33.83,-117.23,2.442
185,6.1333,27.0,7.954716981132075,0.906344412298969,1675.0,3.128969658873217,34.16,-118.09,2.826
186,3.0972,29.0,3.7169811320754715,1.0908695652173912,1349.0,2.75,37.63,-122.08,2.145
187,5.2401,30.0,5.068965517241379,1.0587654320987654,1341.0,2.644320987654321,33.9,-117.95,2.75
188,4.7222,46.0,5.410714285714286,0.9773497654594777,734.0,2.847126436781609,33.97,-118.16,1.594
189,2.8603,34.0,5.05890108303249,1.08304539062531,1349.0,2.764010830324905,35.36,-118.23,0.81
190,3.0,52.0,5.3827755102094,1.0566037735849056,1193.0,2.764693877551021,37.68,-122.27,0.639
191,2.0625,35.0,4.583333333333333,1.05390909090909,1393.0,3.35,37.69,-122.32,0.655
192,6.2434,35.0,6.94896394584453,1.0469458445844586,1694.0,3.1808510638298246,37.36,-122.08,1.25
193,3.2042,21.0,3.7650273224043715,0.912101449127301,1134.0,4.016575342465753,34.96,-118.14,2.479
194,2.8672,46.0,3.842105263157895,1.109326288296082,985.0,3.39473684210526,34.1,-118.28,1.727
195,2.5,33.0,4.907692307692308,1.0769230769230769,1381.0,2.7342657335949503,33.87,-117.89,1.176
196,5.3034,36.0,6.128070175438596,1.0964912280701755,1290.0,3.3859612768356,34.1,-118.29,2.815
197,1.8821,31.0,3.936299218649543,1.004975124378109,1343.0,4.2160337553964435,34.43,-118.04,1.758
198,2.2073,28.0,4.5,0.8,645.0,3.5,33.87,-118.26,1.23
199,2.9667,17.0,3.4,1.08,17.0,2.1666666666666665,33.68,-118.06,1.508
200,4.0208,52.0,5.865148534134099,1.0587301587301594,1031.0,2.965134099616878,33.89,-118.24,1.924
201,4.1397,18.0,6.006896551724138,1.0044642857142858,1045.0,3.739130434782609,34.08,-117.24,1.152
202,1.7188,12.0,4.28395061728395,0.9839506172839506,794.0,2.8844342737362676,35.62,-120.08,1.5
203,8.3612,28.0,6.049556701030927,0.9590163934426229,1401.0,2.838709677419355,34.07,-118.44,5.00001
204,2.1667,37.0,4.853147364347364,1.0493049304930493,1545.0,2.867686567686567,33.97,-117.94,1.163
205,4.8125,35.0,5.633834586466166,1.049079754601226,1628.0,2.979086567391608,37.81,-122.43,2.738
206,2.6692,7.0,5.444444444444444,1.0,1727.0,2.1888888888888887,36.75,-119.23,0.721
207,4.0,41.0,5.91764705882353,1.0040882352941176,1331.0,3.25,37.71,-122.04,2.875
208,5.7825,34.0,7.221526315789474,1.018867924527804,1257.0,2.979245283018868,33.79,-117.23,3.038
209,5.0185,37.0,5.291711250643723,1.0120481927710843,874.0,2.967213114754099,33.8,-117.98,2.723
210,5.1371,33.0,6.29059829059829,1.1448302515723663,1084.0,2.638176686390701,33.97,-118.34,1.53
211,3.6458,33.0,3.781256994845297,1.049302979161667,1199.0,4.132430120481926,34.14,-118.15,2.895
212,1.8286,36.0,3.96684135802469,1.0588235294117647,941.0,2.788235294117647,33.6,-118.18,0.966
213,3.3125,13.0,5.29078014184397,1.0261714285714285,1887.0,3.047058823529412,32.78,-117.22,1.466
214,4.4167,20.0,5.0394736842105265,1.1028802395348838,1538.0,2.638421052631579,33.93,-117.96,2.278
215,5.844,16.0,5.681159420289855,1.0774929261146498,1273.0,3.564233576642336,32.8,-117.11,1.925
216,3.7875,20.0,4.473768013322869,1.067741935483871,783.0,3.243768014084753,33.95,-117.97,1.807
217,4.3844,15.0,5.1894661921458,1.0450261780104713,1173.0,3.098247422680384,34.04,-118.35,2.572
218,3.8125,16.0,6.847263450738926,1.0295035460993784,1418.0,2.927605633802817,37.32,-121.88,2.413
219,4.1818,52.0,5.817222222222222,1.010989010989011,2176.0,2.7222222222222223,37.78,-122.28,2.733
220,3.2125,36.0,4.5,1.174428571428571,1268.0,2.442857142857143,33.74,-118.45,2.211
221,1.8527,23.0,4.965116279069767,0.996613304762311,971.0,3.610094623655914,36.64,-119.04,0.963
222,4.7161,35.0,6.82692307692307,0.9307692307692308,929.0,2.27462962962963,34.06,-118.41,2.375
223,2.6208,16.0,4.967889908256883,1.077809334926892,948.0,2.812997459955253,37.79,-120.94,0.909
224,5.6,36.0,6.04263157894737,1.058356862745099,862.0,2.944682745090219,33.86,-117.22,2.319
225,3.75,17.0,4.335098477157375,1.093922651933701,893.0,2.619337016574584,33.67,-117.91,2.228
226,4.7262,36.0,4.056701030927819,1.08678908474576,1097.0,2.965292181069949,33.98,-117.94,2.125
227,4.9,17.0,4.959004926108374,1.0286857572815533,1152.0,4.389904308943052,34.11,-118.19,1.851
228,3.9485,27.0,5.76614107882943,1.141078829446213,783.0,2.388888888888889,38.54,-122.02,2.833
229,5.5867,18.0,5.847821279035394,0.9885057471264368,819.0,3.254901960784313,37.7,-121.4,2.312
230,4.5,35.0,5.766784456045995,1.0947739944961625,799.0,3.630434782608695,33.85,-117.84,1.178
231,1.9667,50.0,4.957142857142857,1.0077319587628866,2189.0,2.0,33.9,-118.29,0.996
232,2.9583,29.0,4.9129314285714285,1.145714285714286,528.0,3.0714285714285716,34.1,-118.26,1.104
233,2.7222,52.0,5.555555555555555,1.0,1197.0,2.5,39.29,-122.3,0.398
234,3.6286,44.0,5.753688479128526,1.006849315068493,891.0,2.732191780821917,33.93,-117.93,2.075
235,3.0221,28.0,5.69592476426959,1.0588235294117647,579.0,3.3240506329113986,34.03,-117.22,1.073
236,5.7361,45.0,5.3554395439057,1.0494818656716418,971.0,2.9876393055553785,33.98,-117.85,2.304
237,3.1474,24.0,5.735171003717018,1.0,1229.0,3.865171003717018,38.54,-121.29,1.926
238,5.1363,37.0,5.764705882352942,1.1088235294117648,1341.0,2.5,37.77,-122.12,2.277
239,7.0853,16.0,7.0,1.0,489.0,2.5833333333333335,37.73,-121.99,3.25
240,6.7206,36.0,7.067191686167436,1.17391304347826,761.0,2.9228869779816544,34.23,-118.5,5.00001
241,4.6019,52.0,4.5,1.0116279069767442,571.0,2.84375,37.82,-122.04,2.389
242,3.01,40.0,3.918181818181818,1.0818181818181818,928.0,2.818181818181817,34.16,-118.3,2.555
243,2.6783,42.0,4.624277456647597,1.072575773195876,798.0,2.2586206896551726,37.75,-122.27,1.423
244,2.0208,16.0,3.816666666666667,1.0,1021.0,3.0,34.12,-117.71,1.535
245,2.7167,31.0,5.277614678899083,1.0613496932515292,659.0,3.624080239819005,37.66,-122.28,1.836
246,2.5125,18.0,5.9484913893804325,0.9383561643835616,1373.0,2.812062176355464,38.03,-121.3,0.896
247,3.7159,52.0,5.572569670057257,1.012323472509719,673.0,3.0523472509719,37.81,-122.42,1.841
248,2.1905,30.0,4.814694444444445,1.07639889447236,904.0,3.15,33.61,-117.91,2.773
249,1.9375,38.0,5.357798165137628,1.031348246231156,664.0,3.0813496932515307,35.37,-119.01,0.549
250,4.5034,43.0,6.590849673202618,1.0,952.0,2.619047619047619,34.09,-118.15,3.847
251,5.3281,10.0,6.12772069348715,1.042931598513204,1140.0,2.651320754716981,34.02,-117.97,2.181
252,1.6036,43.0,4.583333333333333,1.0375,635.0,4.263157894736848,34.14,-117.22,0.824
253,2.0,26.0,4.86516853932584,1.0909090909090908,786.0,2.26337078651685,33.98,-118.02,1.219
254,2.3,33.0,4.878688524590123,1.0628019326259528,846.0,2.9776119402985075,32.82,-117.07,1.315
255,5.0936,9.0,5.523529411764707,1.0616981132075471,1238.0,2.658823529411764,33.87,-117.07,2.526
256,2.2842,10.0,4.457831325301207,1.1114285714285714,707.0,2.492857142857143,34.44,-119.69,0.9
257,2.9947,24.0,3.603513513513513,1.098228187919463,1486.0,3.004501503759398,34.14,-118.24,1.875
258,5.5673,52.0,6.093553191489362,1.011494252873563,773.0,2.928643216080402,37.77,-122.2,3.0
259,3.1605,31.0,5.95714285714286,1.0189491525423728,818.0,3.25273631840796,33.7,-117.87,1.441
260,1.6464,23.0,3.85238095238095,1.09153846153846,1577.0,2.527272727272727,36.61,-119.18,1.125
261,3.5542,13.0,5.35802469135802,1.0089285714285714,541.0,2.857142857142856,40.77,-122.16,0.629
262,4.6454,10.0,6.735745099696617,1.0585723391780217,564.0,2.945273631840796,33.74,-117.88,1.391
263,2.7188,43.0,4.8,1.0,1235.0,4.0,34.21,-118.4,1.851
264,2.0052,36.0,4.898195522388059,1.0,1348.0,1.9173553719008696,34.27,-118.37,5.00001
265,5.7361,42.0,5.090909090909093,0.935673316568047,983.0,2.5700751879699784,37.72,-122.47,3.591
266,4.7125,23.0,5.76923076923077,0.9587301587301588,1116.0,3.369863015873016,34.03,-118.21,1.955
267,3.6036,16.0,7.049443689320388,1.1047120418137215,699.0,2.967462596184877,38.59,-121.48,0.912
